ind_id	new_id	tax_id	lat	long	alt	t_cap	com_nm	alpha	genus	spp	sub_spp	spp_lat	alpha6	ind_id2	sex	pos_sex	age_clas	age_yr	mass	fat	inc	latency	cort	count_ss	year	doy	season	brd_stg	pos_lh_stg	lh_stg
1001040	1947	APAP1947	19.8211	-155.3306	1828.80366	794	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		ahy		17.1	3.5		3	11.42	4	1993	39		pre-breeding		pre-breeding
1001050	1948	APAP1948	19.8211	-155.3306	1828.80366	565	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f		AHY		14.6	3.5		5	14.62	4	1993	42		pre-breeding		pre-breeding
1001052	1949	APAP1949	19.8211	-155.3306	1828.80366	819	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		ahy		16.9	3		3	10.48	4	1993	42		pre-breeding		pre-breeding
1001053	1950	APAP1950	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m							1	22.98	1	1993	42				
1001057	1951	APAP1951	19.8211	-155.3306	1828.80366	725	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f		SY	1	14.5	2.5		3	5.83	5	1993	45		pre-breeding	pre-breeding	
1001066	1952	APAP1952	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f								9.98	1	1993	46				
1001075	1953	APAP1953	19.93333	-155.21667	473.96495	703	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		ahy		13.5	2.5		5	16.28	4	1993	49				
1001076	1954	APAP1954	19.93333	-155.21667	473.96495		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m								21.39	1	1993	49				
1001077	1955	APAP1955	19.93333	-155.21667	473.96495		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f								11.8	1	1993	49				
1001097	1956	APAP1956	19.8211	-155.3306	1828.80366	840	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		AHY		15.2	3		1	12.58	1	1993	58				
1001098	1957	APAP1957	19.8211	-155.3306	1828.80366	912	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f		AHY		15.2	3.5		1	12.82	1	1993	58				
1001106	1958	APAP1958	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f								8.35	1	1993	59				
1001107	1959	APAP1959	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m								22.06	1	1993	59				
1001108	1960	APAP1960	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m								22.55	1	1993	59				
1001131	1961	APAP1961	19.8211	-155.3306	1828.80366	771	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f		SY	1	14.4	3		0.5	4.93	1	1993	60				
1001132	1962	APAP1962	19.8211	-155.3306	1828.80366	657	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		SY	1	15.3	2.5		3	18.37	4	1993	60				
1001133	1963	APAP1963	19.8211	-155.3306	1828.80366	613	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		AHY		15.6	3		3	10.54	4	1993	60				
1001134	1964	APAP1964	19.8211	-155.3306	1828.80366	757	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		AHY		16.4	2			15.61	1	1993	60				
